,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z
136,418,553116.009179,4182739.1281,553075.000824,4182697.50163,553023.545859,4182748.19254,553064.554214,4182789.81901,185.81,2,258.49
137,430,553029.40845,4182278.44461,552987.037327,4182235.80074,552936.483519,4182286.03121,552978.854642,4182328.67508,173.34,2,258.49
138,438,552837.704374,4182629.56912,552805.71552,4182597.29434,552757.924294,4182644.66219,552789.913147,4182676.93696,176.29,2,258.49
139,451,552912.437175,4183165.56561,552816.737599,4183148.98375,552806.112384,4183210.30551,552901.81196,4183226.88737,178.59,2,258.49
140,507,552843.896782,4182948.96137,552740.621695,4182931.74539,552729.938106,4182995.83401,552833.213194,4183013.04999,207.06,2,258.49
141,638,552627.136149,4182526.65966,552571.295804,4182517.34164,552562.462447,4182570.27751,552618.302792,4182579.59553,170.69,2,258.49
142,692,552623.024817,4183226.65394,552550.014329,4183214.38039,552536.586699,4183294.25603,552609.597187,4183306.52958,258.49,2,258.49
143,715,552748.408603,4182708.26362,552689.868409,4182698.55914,552680.662545,4182754.0915,552739.202739,4182763.79599,177.29,2,258.49
144,790,552777.845862,4182713.2037,552728.638594,4182705.07454,552718.47704,4182766.58426,552767.684308,4182774.71342,171.8,2,258.49
145,8,552820.763284,4183090.99337,552760.075294,4183080.76868,552750.511312,4183137.53508,552811.199302,4183147.75977,126.87,3,127.78
146,29,552499.709624,4183233.06203,552386.346198,4183215.5541,552377.375878,4183273.6367,552490.739305,4183291.14463,99.11,3,127.78
147,51,552624.688177,4183052.38298,552576.831254,4183044.40138,552566.730658,4183104.9636,552614.587581,4183112.9452,118.67,3,127.78
148,69,553150.897949,4183198.60414,552997.707692,4183173.22773,552981.378865,4183271.80029,553134.569123,4183297.1767,127.78,3,127.78
149,75,552495.487879,4182988.97968,552437.486493,4182979.21226,552427.679988,4183037.44576,552485.681374,4183047.21318,104.77,3,127.78
150,210,552882.681544,4183099.71776,552821.808984,4183089.87716,552812.443731,4183147.80929,552873.31629,4183157.64989,99.72,3,127.78
151,224,552863.987681,4182834.18305,552803.342075,4182823.82296,552792.941948,4182884.70291,552853.587553,4182895.06301,120.05,3,127.78
152,293,553352.646705,4183121.2956,553276.68772,4183044.66184,553213.623938,4183107.17034,553289.582923,4183183.8041,114.92,3,127.78
153,362,552541.822587,4183240.86758,552482.573904,4183230.877,552472.792672,4183288.88421,552532.041355,4183298.87478,97.15,3,127.78
154,372,552659.119942,4183015.3979,552581.301795,4183002.40286,552563.874177,4183106.76466,552641.692323,4183119.7597,97.73,3,127.78
155,433,552993.951664,4183071.56025,552932.234057,4183060.96296,552921.604193,4183122.87029,552983.3218,4183133.46757,98.66,3,127.78
156,453,552736.177178,4182961.17122,552689.003507,4182953.318,552683.094137,4182988.81514,552730.267808,4182996.66835,102.68,3,127.78
157,517,552790.240007,4183038.956,552726.096426,4183028.22261,552716.652314,4183084.66136,552780.795895,4183095.39475,107.89,3,127.78
158,701,553045.445805,4183181.04174,552893.782758,4183155.16788,552876.025802,4183259.25261,553027.688848,4183285.12647,127.27,3,127.78
