id,path length,runtime,step size,goal bias,altitude,origin,destination,search space,,,,,,,,,,,
1556583617,1749.878137,1.405109882,50,0.5,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.1,1820.155056,1.711454391,,,0.1,1713.127061,1.764836263
1556583622,1858.758869,3.23426199,50,0.5,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.2,1673.680736,1.515561438,,,0.2,1890.078444,2.30481952
1556583633,1617.706912,5.114706039,50,0.7,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.5,1694.658908,2.552990341,,,0.5,1774.572183,2.891524442
1556583641,1739.195722,2.237149954,50,0.7,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.7,1618.449878,2.451531982,,,0.7,1683.733708,4.15079778
1556583646,1612.301277,5.892989874,50,0.7,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.9,1790.657476,10.40540919,,,0.9,1757.967675,8.805076471
1556583655,1656.513617,1.443953037,50,0.7,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0,1917.659195,2.004856348,,,,,
1556583660,1793.57744,2.988960028,50,0.7,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.05,2175.901267,2.807041788,,,,,
1556583671,1644.441291,3.046699047,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.1,1750.776626,1.634524393,,,,,
1556583680,1619.375408,2.644958019,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.2,2082.677373,2.632796621,,,,,
1556583685,1775.264683,3.744654179,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.5,1807.043507,2.190239763,,,,,
1556583693,1709.276955,9.358519793,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.7,1683.858994,3.535551786,,,,,
1556583708,1671.881533,6.264575005,50,0.9,65.71,"x = 552198, y = 4182276, obs = -1 and test:-1","x = 553252, y = 4183300, obs = -1 and test:-1",20 percent expansion,,,,0.9,1684.047974,5.011881209,,,,,
1556583731,1959.539224,1.477543831,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,0,1749.886918,2.269072008,,,,,
1556583741,1581.053959,1.974942923,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,0.05,1729.065979,2.691121435,,,,,
1556583756,1572.594659,3.868454218,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,0.1,1568.449503,1.948530006,,,,,
1556583765,1515.358185,2.294789076,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,0.2,1913.877224,2.766100502,,,,,
1556583771,2120.888561,1.729629993,50,0,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,0.5,1822.014135,3.931343222,,,,,
1556583791,2208.419388,2.624389172,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,0.7,1748.892253,6.465309572,,,,,
1556583799,1425.528619,3.284116983,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,0.9,1799.197575,10.99793901,,,,,
1556583807,1501.829601,1.223896027,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583813,1701.422336,2.10272789,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583818,1808.129951,4.220477104,50,0.05,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583830,1453.504419,1.428705931,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583835,1595.651705,2.152930021,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583841,1513.134355,2.084146976,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583846,1615.587102,1.067270041,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583851,1664.369933,3.009597063,50,0.1,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583864,2165.879203,2.619935989,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583870,1907.975482,3.464397907,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583876,2121.24815,1.656062841,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583881,1840.900716,4.365770817,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583889,1533.382568,1.724334955,50,0.2,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583898,2516.953934,3.202647924,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583908,1511.790237,2.566736937,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583929,1535.807824,3.162290096,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583936,1929.356164,7.908813,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583948,1616.162515,2.816228151,50,0.5,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583962,1523.234992,9.922661781,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583979,1746.640918,7.579036951,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556583992,1930.888306,4.786447048,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556584001,1878.359465,4.564254999,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556584011,1665.337582,5.474147081,50,0.7,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556584028,1429.149203,8.303001881,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556584041,1847.17663,10.50208211,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556584056,2215.719019,8.368134022,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556584069,1496.056914,10.34757996,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556584084,2007.886111,17.4688971,50,0.9,65.71,"x = 552086, y = 4182792, obs = -1 and test:-1","x = 553126, y = 4182157, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
