index,x,y,connected
424,261.0833333,389,TRUE
425,249.270073,390.7883212,FALSE
426,233,394,TRUE
427,260.9,404,TRUE
428,235.1111111,404.5555556,TRUE
429,248.6285714,404.0571429,FALSE
430,273.6081081,391.9408784,TRUE
431,302.4390244,380.9268293,FALSE
432,320.2,379.3,FALSE
433,318.68,397.86,FALSE
434,298.3605769,401.8028846,TRUE
435,322,379.5,FALSE
436,341.5,378,FALSE
437,332.6175115,394.6129032,FALSE
438,347.2941176,405.2941176,FALSE
439,373.4137931,403.7413793,FALSE
440,349,405.5,FALSE
441,403.6149425,385.6494253,FALSE
442,384.2553191,403.3475177,FALSE
443,408.3333333,388.6984127,FALSE
444,412.5,379,FALSE
445,431.5,390.1394231,TRUE
446,435.2222222,407.5555556,FALSE
447,452.0065147,394.02443,TRUE
448,439.1111111,407.1666667,FALSE
449,471,378.5,FALSE
450,494.25,382.8125,TRUE
451,476.8466135,396.2111554,TRUE
452,494.6666667,394.8333333,TRUE
453,509.8456091,395.1529745,TRUE
454,537.7708333,392.1111111,TRUE
455,566.4785436,393.2535761,TRUE
456,580.4166667,378.8333333,TRUE
457,583,378.6923077,TRUE
458,590.9840989,394.229682,TRUE
459,16,422,TRUE
460,45,422,TRUE
461,74,422,TRUE
462,103,422,TRUE
463,132,422,TRUE
464,161,422,TRUE
465,188.0379267,423.1517067,TRUE
466,204.5555556,408.7777778,TRUE
467,220.2591146,423.3255208,TRUE
468,234.8518519,409.0740741,TRUE
469,244.3636364,408.2727273,FALSE
470,261.3214286,409.4285714,TRUE
471,242.0456026,427.2508143,TRUE
472,263,431.5,FALSE
473,263.36,409.68,TRUE
474,291.6666667,407.3333333,TRUE
475,269.9210526,427.622807,FALSE
476,307.6328125,418.2578125,TRUE
477,348,407,FALSE
478,328.7,416.2,FALSE
479,330.1937984,433.8294574,TRUE
480,374.5308642,417.9794239,FALSE
481,352.5,433.5,FALSE
482,385.0344828,418.9496021,FALSE
483,407,413,FALSE
484,400.5,436,FALSE
485,407.5,436.5,FALSE
486,432.9393939,413.9292929,FALSE
487,409.5666667,412.9666667,FALSE
488,416.5306122,419.4897959,FALSE
489,436.5454545,431.7272727,FALSE
490,413,436.125,FALSE
491,438.5172414,408.7241379,FALSE
492,456.8251748,414.6433566,TRUE
493,436,420,FALSE
494,449.7336957,432.5163043,FALSE
495,475.1145038,413.4045802,TRUE
496,489.3441558,420.7532468,TRUE
497,468.8902439,432.4512195,FALSE
498,508.4483907,422.509434,TRUE
499,539.00246,422.297663,TRUE
500,564.5826558,423.6720867,TRUE
501,578.84,408.2,TRUE
502,591.2272727,423.0763636,TRUE
503,12.53495007,450.3052782,TRUE
504,46.05269058,450.8318386,TRUE
505,73.7130712,450.7183847,TRUE
506,104.4274301,448.1158455,TRUE
507,132,451,TRUE
508,161,451,TRUE
509,189.7521834,451.2827511,TRUE
510,219.8800461,449.6712803,TRUE
511,241.945674,447.6297787,TRUE
512,265.5,436,FALSE
513,273.75,440.375,FALSE
514,294.8,462.2,FALSE
515,337.1164659,447.7309237,TRUE
516,376.125,455.625,FALSE
517,353.5797101,462.5217391,TRUE
518,400.5,437.5,FALSE
519,407.5454545,438.2727273,FALSE
520,379.1,456.1,FALSE
521,412.6086957,438.3043478,FALSE
522,420.3,450.5571429,FALSE
523,435.6,464.6,FALSE
524,459.4973822,442.9371728,FALSE
525,439.59375,464.65625,FALSE
526,473.5454545,443.4019139,FALSE
527,491.9230769,438.1282051,TRUE
528,486,466,FALSE
529,511.8468966,449.4317241,TRUE
530,537.3193505,450.7631935,TRUE
531,566.5679012,445.992284,TRUE
532,571.7848101,464.4683544,TRUE
533,591.0709343,450.449827,TRUE
534,20.05811966,475.991453,TRUE
535,45,480,TRUE
536,73.7130712,480.2816153,TRUE
537,115.9130435,466.5217391,TRUE
538,100.7272727,487.0541126,TRUE
