,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z,
247,409,552861.5148,4183352.365,552833.5104,4183348.017,552828.5889,4183379.72,552856.5933,4183384.068,13.46,5,31.34,
556,485,552488.8496,4183460.868,552462.6171,4183456.451,552456.9827,4183489.912,552483.2152,4183494.329,13.47,12,32.36,
554,479,552384.7333,4183543.48,552343.9039,4183536.663,552338.1948,4183570.855,552379.0242,4183577.672,13.51,12,32.36,
594,756,552630.8631,4183583.568,552584.1854,4183576.518,552578.983,4183610.959,552625.6607,4183618.01,13.52,12,32.36,
256,522,552941.927,4183365.957,552913.9696,4183361.579,552908.9803,4183393.439,552936.9377,4183397.817,13.55,5,31.34,
523,319,552458.6851,4183347.601,552424.2107,4183342.155,552418.2497,4183379.889,552452.7241,4183385.335,13.59,12,32.36,
31,360,552729.8537,4182097.021,552644.3552,4181996.342,552591.4081,4182041.306,552676.9066,4182141.985,13.6,0,39.01,
592,737,552978.1318,4183445.256,552960.328,4183343.69,552327.7908,4183454.57,552345.5946,4183556.136,13.63,12,32.36,
215,42,553045.9967,4183451.744,553020.1793,4183447.355,553014.5016,4183480.756,553040.3191,4183485.144,13.64,5,31.34,
472,679,552527.9439,4182814.033,552490.9539,4182808.711,552485.5664,4182846.16,552522.5563,4182851.481,13.65,11,43.15,
232,234,553063.8275,4183454.426,553037.8261,4183450.564,553032.8677,4183483.952,553058.8692,4183487.813,13.66,5,31.34,
240,305,552870.3201,4183390.274,552838.3601,4183385.281,552834.2154,4183411.812,552866.1754,4183416.805,13.68,5,31.34,
254,504,553054.9841,4183454.875,552839.5848,4183389.625,552829.5416,4183422.779,553044.9409,4183488.029,13.69,5,31.34,
263,590,553075.8381,4183456.644,553049.9211,4183452.49,553044.5827,4183485.796,553070.4997,4183489.95,13.7,5,31.34,
504,180,552443.9905,4183346.154,552417.2678,4183341.769,552410.6518,4183382.085,552437.3745,4183386.471,13.71,12,32.36,
266,603,552867.9751,4183404.051,552836.3521,4183398.702,552831.852,4183425.303,552863.475,4183430.652,13.72,5,31.34,
227,193,552863.25,4183420.673,552815.8849,4183412.653,552810.1657,4183446.431,552857.5308,4183454.451,13.73,5,31.34,
253,497,553020.3245,4183447.082,552986.9826,4183440.966,552980.7363,4183475.018,553014.0782,4183481.134,13.74,5,31.34,
216,46,552893.3465,4183388.482,552866.7237,4183383.563,552860.9,4183415.081,552887.5228,4183420,13.76,5,31.34,
613,354,553184.2877,4182244.895,553141.6373,4182233.604,552820.7119,4183445.884,552863.3623,4183457.175,13.77,13,28.2,
568,562,552424.5691,4183543.944,552386.7186,4183537.886,552380.3152,4183577.897,552418.1657,4183583.955,13.79,12,32.36,
275,738,552907.3292,4183390.989,552880.3471,4183386.101,552874.6556,4183417.516,552901.6377,4183422.404,13.8,5,31.34,
278,743,553027.5545,4183448.25,553000.6961,4183443.295,552994.8554,4183474.953,553021.7138,4183479.908,13.81,5,31.34,
308,635,553244.7618,4183045.168,553151.7825,4183008.595,552970.9385,4183468.36,553063.9178,4183504.933,13.82,6,39.1,
228,194,552933.3717,4183393.804,552896.926,4183387.545,552891.0871,4183421.543,552927.5328,4183427.803,13.83,5,31.34,
526,323,552468.9997,4183319.999,552416.0738,4183311.485,552408.9875,4183355.534,552461.9133,4183364.049,13.86,12,32.36,
274,731,553069.6224,4183455.475,553043.9854,4183451.698,553039.0605,4183485.126,553064.6976,4183488.903,13.87,5,31.34,
91,381,552906.8928,4183408.338,552516.3249,4182786.592,552479.6852,4182809.609,552870.2531,4183431.355,13.88,1,37.5,
493,31,552898.6479,4183387.193,552892.9726,4183327.661,552579.1203,4183357.582,552584.7957,4183417.113,13.94,12,32.36,
530,335,552569.033,4183445.469,552508.2087,4183435.415,552502.4089,4183470.501,552563.2332,4183480.555,13.95,12,32.36,
13,166,552692.7676,4181964.427,552675.1608,4181949.849,552660.4014,4181967.674,552678.0082,4181982.252,13.99,0,39.01,
279,746,552905.4589,4183592.419,552864.5749,4183585.676,552857.4131,4183629.1,552898.2971,4183635.843,14.01,5,31.34,
67,720,552820.6988,4182488.62,552791.7658,4182459.172,552771.5358,4182479.049,552800.4688,4182508.496,14.03,0,39.01,
109,639,552502.2214,4183159.391,552472.63,4183154.468,552466.5665,4183190.912,552496.1579,4183195.835,14.09,1,37.5,
545,455,552406.9178,4183540.213,552380.2023,4183535.664,552373.2969,4183576.22,552400.0124,4183580.769,14.11,12,32.36,
122,747,552598.7978,4183134.158,552560.438,4183127.76,552555.4766,4183157.506,552593.8363,4183163.904,14.13,1,37.5,
64,690,552780.1435,4181852.26,552744.7696,4181816.599,552683.2906,4181877.582,552718.6646,4181913.243,14.14,0,39.01,
516,267,552403.1928,4183522.794,552377.0914,4183518.58,552371.2864,4183554.533,552397.3878,4183558.748,14.15,12,32.36,
284,782,552866.3358,4183452.549,552805.3115,4183441.893,552799.4587,4183475.408,552860.483,4183486.065,14.17,5,31.34,
620,675,552854.6028,4182584.899,552817.5994,4182567.163,552349.8297,4183543.141,552386.833,4183560.877,14.18,13,28.2,
551,471,552566.2228,4183563.859,552530.5872,4183557.745,552526.1728,4183583.474,552561.8084,4183589.589,14.21,12,32.36,
521,313,552985.8513,4183148.792,552420.7161,4183077.755,552358.2655,4183574.576,552923.4007,4183645.614,14.24,12,32.36,
272,683,553057.6374,4183453.352,553032.1687,4183449.563,553027.1807,4183483.091,553052.6494,4183486.88,14.3,5,31.34,
448,366,552529.1278,4182807.335,552492.9257,4182801.656,552488.7105,4182828.529,552524.9126,4182834.208,14.31,11,43.15,
222,105,552974.2907,4183439.316,552917.9307,4183430.102,552912.3836,4183464.031,552968.7436,4183473.245,14.35,5,31.34,
