index,x,y,connected,
587,483.4857143,15.57142857,TRUE,
588,487.5,15.5,TRUE,
589,490.8571429,15.64285714,TRUE,
590,493,16.5,TRUE,
591,501.5,13,FALSE,
592,502.5,13,FALSE,
593,510,15,TRUE,
594,511.4285714,15.57142857,TRUE,
595,513,16.5,TRUE,
596,520.5,18,TRUE,
597,523.6,16.4,TRUE,
598,527.7272727,17.54545455,TRUE,
599,532.0714286,15.78571429,TRUE,
600,535.0384615,15.92307692,TRUE,
601,539.5,16,TRUE,
602,543.6315789,15.21052632,TRUE,
603,547.8,14.8,TRUE,
604,551.52,14.8,TRUE,
605,555.2307692,15.11538462,TRUE,
606,559.1,13.4,TRUE,
607,563.5,13,TRUE,
608,568.6666667,14.83333333,TRUE,
609,571.5,15.5,TRUE,
610,574.9655172,15.68965517,TRUE,
611,577.8571429,16.71428571,TRUE,
612,585.2,15.6,TRUE,
613,587.5,15.5,TRUE,
614,591.5,15.5,TRUE,
615,595.5,15.5,TRUE,
616,598.5,15.5,TRUE,
617,3.5,19.5,TRUE,
618,7.1,19.4,TRUE,
619,11.5,17.5,TRUE,
620,12,21.75,TRUE,
621,15.75,19.5,TRUE,
622,18.68,19.8,TRUE,
623,24,21.75,TRUE,
624,28,20,TRUE,
625,31.48275862,20.03448276,TRUE,
626,35.63636364,19.72727273,TRUE,
627,39.27272727,19.36363636,TRUE,
628,41.33333333,19,TRUE,
629,49.5,19.5,TRUE,
630,51,20,TRUE,
631,55.7,20.8,TRUE,
632,59.75,19.75,TRUE,
633,63.5,19.5,TRUE,
634,67.5,19.5,TRUE,
635,71.16129032,19.22580645,TRUE,
636,75.36842105,18.10526316,TRUE,
637,79.96428571,19.03571429,TRUE,
638,83,19.37931034,TRUE,
639,85.75,19.75,TRUE,
640,92.56521739,19.39130435,TRUE,
641,95.21428571,18.92857143,TRUE,
642,99.78571429,18.92857143,TRUE,
643,103.3529412,19.55882353,TRUE,
644,107,20.04347826,TRUE,
645,112.08,19.72,TRUE,
646,113.8,19.8,TRUE,
647,121.8,20.2,TRUE,
648,124.1111111,19.77777778,TRUE,
649,126,19.47058824,TRUE,
650,130,17.5,TRUE,
651,132.3076923,19.34615385,TRUE,
652,135.1,19.4,TRUE,
653,140,19.33333333,TRUE,
654,143.5,19.5,TRUE,
655,147.5,19.5,TRUE,
656,151.5,19.5,TRUE,
657,155.5,19.5,TRUE,
658,159.5,19.5,TRUE,
659,163.3636364,19.72727273,TRUE,
660,167.6176471,19.64705882,TRUE,
661,171.4285714,19.42857143,TRUE,
662,175.5588235,19.35294118,TRUE,
663,179.5,19.5,TRUE,
664,183.5,19.5,TRUE,
665,187.5,19.5,TRUE,
666,191.5,19.5,TRUE,
667,195.5,19.5,TRUE,
668,199.5,19.5,TRUE,
669,203,19.33333333,TRUE,
670,207,17.33333333,TRUE,
671,207,22,TRUE,
672,210.8,17.2,TRUE,
673,213.4,20.8,FALSE,
674,213.4,20.8,FALSE,
675,220.4,19.4,TRUE,
676,223.5,19.5,TRUE,
677,227.5,19.5,TRUE,
678,231.5,19.5,TRUE,
679,235.5,19.5,TRUE,
680,239.5,19.5,TRUE,
681,243.5,19.5,TRUE,
682,247.5,19.5,TRUE,
683,251,20.22727273,TRUE,
684,255.875,20.375,TRUE,
685,259.625,19.8125,TRUE,
686,262.9285714,19.21428571,TRUE,
687,267,17.33333333,TRUE,
688,271,17,TRUE,
689,276,22,TRUE,
690,282,19,TRUE,
691,284.0689655,19.4137931,TRUE,
692,287.5,19.5,TRUE,
693,291.4285714,19.57142857,TRUE,
694,295.516129,19.87096774,TRUE,
695,299.5714286,19.57142857,TRUE,
696,303.5,19.5,TRUE,
697,307.5,19.5,TRUE,
698,311.21875,19.3125,TRUE,
699,315.88,18.8,TRUE,
700,319.5,19.5,TRUE,
701,323.5,19.5,TRUE,
702,326.96,20.12,TRUE,
703,331.8571429,20.57142857,TRUE,
704,335.7272727,19.63636364,TRUE,
705,339.5,19.5,TRUE,
706,343.5,19.5,TRUE,
707,347.5,19.5,TRUE,
708,351.5,19.5,TRUE,
709,355.5,19.5,TRUE,
710,359.5,19.5,TRUE,
711,363.5,19.5,TRUE,
712,367.5,19.5,TRUE,
713,371.5,19.5,TRUE,
714,375.4285714,19.57142857,TRUE,
715,379.5517241,19.89655172,TRUE,
